name,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,host_genotype,Compartment,soil_type,longitude,latitude,environment,Location,Group,Replicate,is.neg,line,plate
G0_1,G0_1,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_10,G0_10,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_11,G0_11,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_12,G0_12,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_13,G0_13,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_14,G0_14,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_15,G0_15,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_16,G0_16,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_17,G0_17,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_18,G0_18,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
