Sample_ID,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,Genotype,Compartment,soil_type,soil_batch,longitude,latitude,environment,Location,Group,Replicate
G0_17,G0_17,G0,,,,,,,,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G0_18,G0_18,G0,,,,,,,,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G0_19,G0_19,G0,,,,,,,,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G0_20,G0_20,G0,,,,,,,,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D1B,G1_D1B,G1,,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_N5,G1_N5,G1,,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D2B,G1_D2B,G1,,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D9,G1_D9,G1,,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D14,G1_D14,G1,,Drought,,G0_bulk,Drought,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_C6,G1_C6,G1,,Control,,G0_bulk,Control,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_C13,G1_C13,G1,,Control,,G0_bulk,Control,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D8,G1_D8,G1,,Drought,,G0_bulk,Drought,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D7,G1_D7,G1,,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_PC1,G1_PC1,G1,,,,,,,,,g1_1,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G1_NC1,G1_NC1,G1,,,,,,,,,g1_1,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G1_C12,G1_C12,G1,,Control,,G0_bulk,Control,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D6,G1_D6,G1,,Drought,,G0_bulk,Drought,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D5,G1_D5,G1,,Drought,,G0_bulk,Drought,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_N13,G1_N13,G1,,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_N8,G1_N8,G1,,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D10,G1_D10,G1,,Drought,,G0_bulk,Drought,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_C2,G1_C2,G1,,Control,,G0_bulk,Control,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_N2B,G1_N2B,G1,,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_D15,G1_D15,G1,,Drought,,G0_bulk,Drought,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_N1B,G1_N1B,G1,,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
